Areas4,Karachi_Central,Karachi_East,Karachi_Korangi,Karachi_Malir,Karachi_South,Karachi_West,Karachi_Division,Badin,Dadu,Hyderabad,Jamshoro,Matiari,Sujawal,Tando_Allahyar,Tando_Muhammad_Khan,Thatta,Hyderabad_Division,Ghotki,Khairpur,Sukkur,Sukkur_Division,Mirpur_Khas,Tharparkar,Umer_Kot,Mirpurkhas_Division,Naushahro_Feroze,Sanghar,Shaheed_Benazir_Abad,SBA_Division,Jacobabad,Kambar_Shahdad_Kot,Kashmore,Larkana,Shikarpur,Larkana_Division,Sindh_Total
Total<br>Vaccine<br>Administered<br>First Dose,217307,915012,212845,157115,523113,155503,2180895,120352,51747,230919,76493,58487,26321,43137,34351,43128,684935,61035,90433,85543,237011,124307,91266,76640,292213,63331,147769,89360,300460,43556,34945,40121,77596,42366,238584,3934098
Vaccine<br>Administered<br>Second Dose,81866,394825,38145,30278,228483,38014,811611,14209,10825,64649,18046,8131,3514,6484,5910,8469,140237,14054,21902,21875,57831,23991,13808,10002,47801,11608,21463,22047,55118,10731,10731,6008,8147,13805,8610,47301
Vaccine<br>Administered<br>Total Dose,299173,1309837,250990,187393,751596,193517,2992506,134561,62572,295568,94539,66618,29835,49621,40261,51597,825172,75089,112335,107418,294842,148298,105074,86642,340014,74939,169232,111407,355578,54287,40953,48268,91401,50976,285885,5093997
