Areas2,Karachi_Central,Karachi_East,Karachi_Korangi,Karachi_Malir,Karachi_South,Karachi_West,Karachi_Division,Badin,Dadu,Hyderabad,Jamshoro,Matiari,Sujawal,Tando_Allahyar,Tando_Muhammad_Khan,Thatta,Hyderabad_Division,Ghotki,Khairpur,Sukkur,Sukkur_Division,Mirpur_Khas,Tharparkar,Umer_Kot,Mirpurkhas_Division,Naushahro_Feroze,Sanghar,Shaheed_Benazir_Abad,SBA_Division,Jacobabad,Kambar_Shahdad_Kot,Kashmore,Larkana,Shikarpur,Larkana_Division,Sindh_Total
Per Day<br>Target<br>For 5 Months,13932,39350,14758,11747,14391,16314,110492,4733,4060,18422,3712,2190,2139,2358,1885,2803,42300,4132,6050,7430,17612,6591,4911,3630,15132,4412,5623,7056,17091,2237,2908,2236,6138,3075,16595,219223
Vaccine<br>Administered<br>First Dose<br>24 Hours,1924,8400,2515,1202,6414,1565,22020,8240,1722,6876,1173,1642,1559,1317,1328,1477,25333,2733,1703,818,5254,5836,3138,3724,12698,2275,9291,2434,14000,2317,1537,1446,3317,3085,11701,91005
Daily Coverage<br>Percentage,13.81,21.35,17.04,10.23,44.57,9.59,19.93,174.11,42.42,37.32,31.59,74.97,72.89,55.86,70.45,52.69,59.89,66.14,28.14,11.01,29.83,88.54,6.39,102.59,83.91,51.56,165.23,34.5,81.91,103.55,52.85,64.65,54.04,100.32,70.51,41.51
